SID,LLX,LLY,RS_PM25,GS_PM25,AOD,NDVI,TMP,SPFH,WIND,HGT,U,V
515200006,-82.1641,36.608,9.818999,7.519999981,0.25298795,0.7862333,22.333542,0.013778474,1.3063552,558,1221847.79346372,-10847.1768120067
210130002,-83.7369,36.6084,10.746662,7.49999997,0.24305435,0.83274996,21.972218,0.013998727,1.3188779,593.25,1083769.83011,-29882.2141804003
60195025,-119.733,36.7264,8.217047,8.648275918,0.12275,0.39066666,27.538343,0.008944483,2.4891644,96.75,-2078210.07982652,174172.055054733
60190011,-119.773,36.7854,8.217047,8.674725305,0.10394149,0.29783332,27.756334,0.008777428,2.2640522,102.75,-2080003.06601656,181451.875103189
60195001,-119.716,36.8195,8.217047,9.309677439,0.11777895,0.36345,28.036196,0.008876297,2.1067674,101.75,-2074176.41706145,183907.936099072
518100008,-76.1812,36.8419,14.144515,7.523333343,0.22461984,0.59783334,25.832518,0.015292334,2.5786095,7.5,1738266.71271724,108169.73424012
517100024,-76.3014,36.8555,14.144515,7.929032287,0.2372439,0.4084,25.678656,0.015283319,3.0488155,0.75,1727562.51861591,107468.849683507
210470006,-87.3233,36.9117,12.742657,9.279999955,0.24604444,0.7553167,23.934977,0.015093241,1.9996467,191.75,764782.53542542,-30986.5468681983
60392010,-120.034,36.9533,9.614341,7.975000083,0.120294735,0.34076667,26.278149,0.008709841,2.7847157,84,-2097645.88686454,205408.592625232
212270009,-86.2149,37.0493,12.37472,8.379310353,0.25674227,0.7626,24.090134,0.014739445,1.7961005,196.75,860568.700232122,-6162.5739021118
211451024,-88.5725,37.0582,12.786416,8.133333312,0.22819608,0.66511667,24.710907,0.015015117,1.4946275,97.25,653636.994633473,-23952.6254693585
211990003,-84.6115,37.098,11.217808,8.077419343,0.23528723,0.8196167,23.209332,0.01440884,1.5215828,292.5,1000302.45661684,14959.4357325632
516500008,-76.387,37.1037,14.141112,7.680645143,0.21826923,0.68315,25.798008,0.015402233,3.0496614,2.75,1714463.69887059,133136.231431507
211930003,-83.2093,37.2833,10.334246,7.231250092,0.24831869,0.83063334,22.719929,0.014409815,0.99551743,401.25,1119974.15219103,51198.9964783287
511611004,-79.8845,37.2834,9.848865,7.641935472,0.25576922,0.6656333,23.52868,0.013625275,1.641053,362.25,1408592.65458034,95446.3867575477
517750011,-80.081,37.2979,9.848865,7.993548401,0.24828866,0.7312833,22.259722,0.013218219,1.9070176,655.75,1391308.39576741,94153.5883114839
60472510,-120.48,37.3083,9.623036,7.535483945,0.116134405,0.38145,25.794462,0.008916101,2.51816,50.25,-2125581.26402025,253809.466779562
516800015,-79.215,37.3327,11.178293,7.620689589,0.22907142,0.76951665,23.868984,0.014344102,1.7861798,273,1465542.86180747,111012.607746802
510360002,-77.2592,37.3444,14.486704,8.314814779,0.23353572,0.71675,25.444061,0.01489132,1.8785518,1.5,1633950.36311028,144196.173323152
60850005,-121.895,37.3485,9.323183,7.980645195,0.12144737,0.31615,21.236967,0.009251824,1.3586526,38.25,-2244262.65228842,290690.314876693
510410004,-77.5936,37.3575,14.669616,8.13870966,0.21341346,0.84795,24.929287,0.014480324,1.2884091,68.25,1604881.40097558,139937.914212611
201910002,-97.3664,37.4769,12.511852,7.753333278,0.17886508,0.61923337,25.289865,0.014758486,2.825137,388.5,-119690.089215478,-1728.33257349426
