UTM-X,UTM-Y,X1,X2,X3,X4,Y,LL-X,LL-Y
589064.125,4500118.5,2,1,1,4.79,89.15217391,-73.9466,40.64712
585339.125,4504100.5,6,2,3,5,284.2391304,-73.99011,40.68338
589012,4505035,2,1,1,4.51,65,-73.94652,40.69141
589012,4505035,2,1,1,4.49,65.11956522,-73.94652,40.69141
588284.75,4518039.5,1,1,1,5,75.01086957,-73.95329,40.80862
589259.0625,4508939.5,3,1,1,5,240.8043478,-73.94304,40.72655
585126.375,4513129.5,3,1,1,4.91,85.95652174,-73.9914,40.76473
596420.0625,4508802.5,1,1,1,4.91,30,-73.85828,40.72451
591564.75,4504775.5,2,1,1,4.63,62,-73.91635,40.68879
588636.875,4501625.5,3,1,1,4.34,55,-73.95144,40.66074
586655.3125,4515057,2,1,1,4.74,165,-73.97302,40.78193
598660.625,4512129.5,2,1,1,4.57,61.64130435,-73.83123,40.75421
587167.5,4517714,3,1,1,5,107.173913,-73.96658,40.80581
587642.625,4507283.5,4,1,0,4.81,119.1956522,-73.96241,40.71181
589589.1875,4516281,2,1,1,4.9,133.9673913,-73.93808,40.79264
590678.4375,4502889,5,1,2,5,114.9456522,-73.92711,40.6719
585784.375,4508934,2,1,1,4.79,216.6304348,-73.98418,40.72687
588166.6875,4513575,2,1,1,4.86,114,-73.95532,40.76842
588486.6875,4504369.5,6,1,2,4.66,147.2282609,-73.95283,40.68547
588022.75,4518364,3,1,1,4.37,127.9347826,-73.95635,40.81157
586477.875,4503635,1,1,1,4.76,250,-73.9767,40.67907
586772.625,4515633.5,3,2,2,5,375,-73.97155,40.78711
579059.5625,4495921,2,1,1,4.88,88.26086957,-74.06544,40.61033
585368.5625,4513064.5,4,1,1,4.82,280,-73.98854,40.76412
585408.9375,4513367,6,1,2,4.44,225,-73.98802,40.76684
592083.75,4503882.5,4,1,1,4.83,120.6521739,-73.91034,40.68069
588421.375,4506871,2,1,1,4.52,114.173913,-73.95325,40.70801
589356.875,4508185.5,2,1,1,5,160,-73.94199,40.71975
586577,4503252,3,1,2,4.91,115,-73.97558,40.67561
589849.6875,4516577.5,2,1,1,4.29,56.04347826,-73.93495,40.79528
586805.3125,4512199,1,2,1,4.87,199,-73.97164,40.75617
589052.875,4516742,1,1,1,4.63,115,-73.94437,40.79685
587002.0625,4515854,7,2,2,4.77,519.5652174,-73.9688,40.78907
583149.25,4506973.5,1,0,1,4.58,55,-74.01564,40.70948
586771,4511234.5,1,1,1,4.54,151,-73.97218,40.74749
585885.5625,4513029.5,4,1,0,5,250,-73.98242,40.76375
588086.0625,4517725,3,1,1,4.56,164.673913,-73.95569,40.80581
589083.6875,4504977,2,1,1,4.11,80.86956522,-73.94568,40.69088
585718.1875,4508377,7,1,2,4.88,350.3804348,-73.98504,40.72186
586331.5,4501977,1,1,1,4.73,200,-73.97866,40.66415
588667.3125,4514414.5,2,2,2,0,550,-73.94927,40.77593
588072.5625,4504371,2,1,1,4.67,50,-73.95773,40.68553
