ID,pr_ann,pr_gwr_fg,pr_gwr_fb,pr_gwr_ag,pr_gwr_ab,pr_agwnn
68,0.758831109,0.975153636,0.806240494,0.970017905,0.972145765,0.985100484
69,0.783152767,0.975508464,0.829532509,0.972187805,0.973919174,0.987581915
70,0.768928844,0.975299999,0.811467835,0.970689218,0.972490407,0.984732327
71,0.772235906,0.979567076,0.818831162,0.975758664,0.977878344,0.988626849
72,0.763130056,0.975897513,0.816004922,0.97273554,0.974842882,0.986355589
73,0.74721381,0.977461453,0.796867609,0.969912814,0.974641228,0.988052063
74,0.764954882,0.973294982,0.817831164,0.966057972,0.969701326,0.985269859
75,0.766977154,0.9759955,0.814608786,0.969204619,0.972921979,0.988098558
76,0.747496471,0.977985662,0.800270907,0.973193383,0.976224447,0.98475129
77,0.750106873,0.976529208,0.794602119,0.973690954,0.975232679,0.988580309
78,0.811379827,0.97862326,0.853075161,0.976547595,0.977844547,0.98979664
79,0.767848928,0.976049643,0.816566725,0.970268402,0.973957038,0.986839436
80,0.762257104,0.975552105,0.81173193,0.971188643,0.973131701,0.986406877
81,0.747427233,0.973469178,0.789383707,0.968132848,0.971410771,0.98722725
82,0.789672222,0.977539525,0.835541775,0.973238004,0.975843932,0.988626104
83,0.748371447,0.977952157,0.806662379,0.973550191,0.977108755,0.989060061
84,0.769746485,0.977444434,0.821317273,0.975413803,0.976368386,0.989203209
85,0.772456769,0.978144339,0.826342578,0.976033423,0.977235622,0.984829959
86,0.752348865,0.972905813,0.802039185,0.969394725,0.971508959,0.986249795
87,0.771992486,0.97709626,0.82421719,0.97310043,0.975505924,0.987374832
88,0.770408559,0.975951946,0.821567362,0.971355221,0.973362044,0.987903165
89,0.780325606,0.974238025,0.825470008,0.969089647,0.972113168,0.986953293
90,0.759757507,0.976357137,0.811730271,0.971483181,0.974818,0.985594881
91,0.770431039,0.976638322,0.821691787,0.972274388,0.975147619,0.987803026
92,0.753771379,0.975884475,0.810041477,0.969534793,0.972521854,0.987150523
93,0.773655545,0.976461711,0.81675352,0.971384148,0.974573754,0.986152093
94,0.780993095,0.979534515,0.827227829,0.976893861,0.978000758,0.988364818
95,0.777916883,0.977572255,0.819301436,0.973663326,0.976425682,0.987148397
96,0.756439201,0.97230747,0.804257798,0.970098022,0.969332343,0.985445162
97,0.730311519,0.970787254,0.785825237,0.964012332,0.967409442,0.982419458
